Date,Time,Row,Identifier 1,Identifier 2,Preparation,Component,Comment,Method,Ampl. 44,BGD 44,Analysis,Start,Rt,End,Ampl. 45,Ampl. 46,BGD 45,BGD 46,Ref. Name,d 13C/12C
10/13/22,14:37:55,36,167,RD,,BF-CO2-Ref-1,1.994,LSU 13C Amino Acid w NLeu IRMS Method-UCM-Adjusted,2674,-1.3,28103,215.5,234.7,237.4,3043,4811,-1.7,-3.6,CO2 Lab.Tank,-43.034
10/13/22,14:37:55,36,167,RD,,BF-CO2-Ref-2,1.994,LSU 13C Amino Acid w NLeu IRMS Method-UCM-Adjusted,2678,-0.8,28103,255.2,274.6,277.1,3047,4817,-1.1,-2.6,CO2 Lab.Tank,-43.270
10/13/22,14:37:55,36,167,RD,,BF-CO2-Ref-3,1.994,LSU 13C Amino Acid w NLeu IRMS Method-UCM-Adjusted,2676,-0.7,28103,295.1,314.3,317.1,3044,4814,-1.0,-2.4,CO2 Lab.Tank,-43.312
10/13/22,14:37:55,36,167,RD,,,1.994,LSU 13C Amino Acid w NLeu IRMS Method-UCM-Adjusted,398,-1.2,28103,546.5,557.4,569.1,452,704,-1.6,-3.2,CO2 Lab.Tank,-42.795
10/13/22,14:37:55,36,167,RD,,CO2-Ref-1,1.994,LSU 13C Amino Acid w NLeu IRMS Method-UCM-Adjusted,2695,78.8,28103,603.6,622.8,625.5,3067,4848,89.9,141.4,CO2 Lab.Tank,-43.010
10/13/22,14:37:55,36,167,RD,,Ala,1.994,LSU 13C Amino Acid w NLeu IRMS Method-UCM-Adjusted,4562,51.3,28103,744.5,751.8,770.8,5027,8077,58.8,92.6,CO2 Lab.Tank,-37.682
10/13/22,14:37:55,36,167,RD,,Val,1.994,LSU 13C Amino Acid w NLeu IRMS Method-UCM-Adjusted,4466,75.2,28103,799.6,808.6,832.9,4954,7902,86.4,135.7,CO2 Lab.Tank,-38.014
10/13/22,14:37:55,36,167,RD,,Gly,1.994,LSU 13C Amino Acid w NLeu IRMS Method-UCM-Adjusted,4071,83.9,28103,856.3,863.4,870.3,4367,7203,96.2,151.1,CO2 Lab.Tank,-39.954
10/13/22,14:37:55,36,167,RD,,Ile,1.994,LSU 13C Amino Acid w NLeu IRMS Method-UCM-Adjusted,3785,114.0,28103,880.5,887.2,892.8,4212,6691,131.2,205.3,CO2 Lab.Tank,-37.809
10/13/22,14:37:55,36,167,RD,,,1.994,LSU 13C Amino Acid w NLeu IRMS Method-UCM-Adjusted,5171,114.0,28103,892.8,899.5,929.2,5689,9156,131.2,205.3,CO2 Lab.Tank,-39.300
10/13/22,14:37:55,36,167,RD,,Nor,1.994,LSU 13C Amino Acid w NLeu IRMS Method-UCM-Adjusted,2340,137.1,28103,939.0,944.5,964.7,2599,4128,157.8,246.4,CO2 Lab.Tank,-41.478
